num_of_day,title_of_itin,num_of_view,num_of_reply,places
10,shirley_yln的中国台湾行程,821,19,武汉·台北·新竹·台中市·台南·高雄市·垦丁
4,凤凰花馥的中国台湾香港行程,161,0,杭州·香港·台北
7,我的中国台湾七日游线路,888,9,杭州·台北·花莲·垦丁
4,肥仔毛的中国台湾泰国日本韩国行程,29,0,槟城·台北·东京·首尔·曼谷
4,凤凰花馥的中国台湾香港行程,98,0,杭州·香港·台北
2,万Marlboro的中国台湾行程,96,0,龙岩·台北
4,我的中国台湾二日游线路,344,0,厦门·金门县
1,雍轩逸的中国台湾行程,72,0,上海·台北
6,渔之乐.的中国台湾香港行程,79,0,福州·厦门·鼓浪屿·福鼎·太姥山·点头镇
10,中国-台湾,391,1,垦丁·台北
8,台湾参考行程,1049,33,上海·台北·花莲县·垦丁·高雄市
12,2016春节台湾环岛游参考行程,527,10,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
12,台湾环岛,752,8,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
15,台湾1,34,1,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪
12,2017国庆台湾,25,0,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
num_of_reply,num_of_day,title_of_itin,num_of_view,places
19,10,shirley_yln的中国台湾行程,821,武汉·台北·新竹·台中市·台南·高雄市·垦丁
0,4,凤凰花馥的中国台湾香港行程,161,杭州·香港·台北
9,7,我的中国台湾七日游线路,888,杭州·台北·花莲·垦丁
0,4,肥仔毛的中国台湾泰国日本韩国行程,29,槟城·台北·东京·首尔·曼谷
0,4,凤凰花馥的中国台湾香港行程,98,杭州·香港·台北
0,2,万Marlboro的中国台湾行程,96,龙岩·台北
0,4,我的中国台湾二日游线路,344,厦门·金门县
0,1,雍轩逸的中国台湾行程,72,上海·台北
0,6,渔之乐.的中国台湾香港行程,79,福州·厦门·鼓浪屿·福鼎·太姥山·点头镇
1,10,中国-台湾,391,垦丁·台北
33,8,台湾参考行程,1049,上海·台北·花莲县·垦丁·高雄市
10,12,2016春节台湾环岛游参考行程,527,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
8,12,台湾环岛,752,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
1,15,台湾1,34,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪
0,12,2017国庆台湾,25,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市
num_of_day,title_of_itin,places,num_of_reply,num_of_view
10,shirley_yln的中国台湾行程,武汉·台北·新竹·台中市·台南·高雄市·垦丁,19,821
4,凤凰花馥的中国台湾香港行程,杭州·香港·台北,0,161
7,我的中国台湾七日游线路,杭州·台北·花莲·垦丁,9,888
4,肥仔毛的中国台湾泰国日本韩国行程,槟城·台北·东京·首尔·曼谷,0,29
4,凤凰花馥的中国台湾香港行程,杭州·香港·台北,0,98
2,万Marlboro的中国台湾行程,龙岩·台北,0,96
4,我的中国台湾二日游线路,厦门·金门县,0,344
1,雍轩逸的中国台湾行程,上海·台北,0,72
6,渔之乐.的中国台湾香港行程,福州·厦门·鼓浪屿·福鼎·太姥山·点头镇,0,79
10,中国-台湾,垦丁·台北,1,391
8,台湾参考行程,上海·台北·花莲县·垦丁·高雄市,33,1049
12,2016春节台湾环岛游参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,10,527
12,台湾环岛,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,8,752
15,台湾1,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·嘉义·南投·淡水·平溪,1,34
12,2017国庆台湾,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,25
7,心_ai的中国行程,上海·高雄市·垦丁·台北,2,129
13,17年国庆台湾趴趴走,广州·澳门·高雄市·垦丁·恒春·台东·屏东·绿岛·花莲·台北·新北市·九份·平溪,1,77
13,宋小鹿的台湾行程,武汉·台北·花莲·台中市·南投·桃园·上海,1,115
25,BERNICERUAN的香港澳门台湾泰国马来西亚行程,台山·澳门·香港·台北·九份·花莲·垦丁·亚庇·曼谷·清迈,0,79
10,2014年11月份台湾10日游之垦丁花莲台北,上海·高雄市·垦丁·枋寮·台东县·花莲·花莲县·太鲁阁国家公园·台北·新北市,60,3378
9,"与""旧""中国一步之遥！",上海·高雄市·垦丁·台东县·花莲县·太鲁阁国家公园·平溪·九份·台北,38,1702
6,cassie121106的中国行程,上海·高雄市·垦丁·台北,3,139
8,麦子文的中国行程,上海·台北·台中市·南投·花莲·九份,0,88
7,我的中国香港七日游线路,北京·台北·九份·花莲县·垦丁·香港,12,1099
7,美丽美物的中国行程,上海·高雄市·台中市·澎湖·台北·金门,0,59
7,渡海锦鲤穷鱼的中国行程,青岛·高雄市·台中市·澎湖·台北·金门,0,32
6,fadingsummer的中国行程,南京·高雄市·垦丁·台北,0,61
7,askaxu的台湾行程,上海·台北·高雄市·垦丁,2,91
6,简单心境的中国行程,温州·台北·淡水·九份,2,125
8,毛毛猪yanyan的中国行程,广州·高雄市·垦丁·台北,4,231
10,台湾参考行程,上海·台北·平溪·九份·花莲县·花莲·垦丁·高雄市,1,135
8,台湾-台北-花莲-垦丁-参考,上海·台北·花莲县·垦丁·高雄市,1,187
12,台湾12天参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,44
12,台湾参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,37
14,14天台湾参考行程,台北·花莲县·高雄市·垦丁·嘉义·台中市·彰化县·新北市,0,60
12,台湾参考行程,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,56
8,台湾参考行程,上海·台北·花莲县·垦丁·高雄市,0,48
8,台湾,上海·台北·花莲县·垦丁·高雄市,0,48
8,台湾8日游,上海·台北·花莲县·垦丁·高雄市,0,32
8,台湾8日游,上海·台北·花莲县·垦丁·高雄市,0,41
8,台湾参考行程2,上海·台北·花莲县·垦丁·高雄市,0,31
8,台湾行-Kelly,上海·台北·花莲县·垦丁·高雄市,0,102
8,台湾参考行程,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,0,120
11,台湾11日,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,91
8,台湾9日游,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,5,351
9,萤火717的中国行程,北京·台北·宜兰·台中市·垦丁·恒春,0,74
8,爱柠绿的猫的台湾行程,广州·台北·苗栗·台中市·南投·胡志明市,0,19
11,独行侠：女：台湾11日游,广州(中国)·台北·淡水·新北市·野柳·暖冬峡谷·九份·基隆庙口·基隆市,37,2369
7,粒粒的台湾之行完美版,北京·台北·南投县·垦丁·恒春·九份·平溪,29,1330
9,yangyou83的台湾行程,中国·台湾·台北·花莲县·九份,10,427
7,罗倩同学的中国行程,重庆·台北·台中市·南投,0,110
15,丁小丁0825的台湾行程,温州·台湾·台中市·高雄市·垦丁·绿岛·花莲县·九份·台北·淡水,9,706
11,我的中国十一日游线路,台湾·台北·花莲县·台东县·垦丁·高雄市·台南·嘉义·九份,2,128
7,艳小胖的中国行程,北京·高雄市·台中市·澎湖·台北·金门,1,63
7,michaelleon的台湾七日游线路,上海·高雄市·垦丁·台北·平溪,8,919
7,雯雯Constance的中国行程,青岛·高雄市·台中市·澎湖·台北·金门,0,70
7,2015年2月台湾7天6晚亲子游,龙岗·香港·台中·台中市·高雄市·高雄左营·垦丁·垦丁海生馆·海生馆·清境农场·南投县·深圳,7,1321
8,priscilla_ye的台湾八日游线路,中国·台北·南投县·九份·淡水,0,130
7,两个锅盔一碗面的中国行程,东营·台北·花莲·垦丁·鹿港,0,55
16,lisaab85的台湾之行,中国·台北·平溪·九份·花莲县·垦丁·高雄市·台中市·鹿港,5,248
8,台湾8日游,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,0,223
8,台湾,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,0,142
8,台湾9天,上海·台北·南投县·花莲县·垦丁·高雄市·桃园县·桃园市,0,165
10,台湾11,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市,0,95
11,台湾11天,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,145
12,台湾12日游,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,0
6,严严双的台湾行程,杭州·台北·台中市,2,32
11,台湾,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,99
12,台湾参考行程2,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,2
8,李平 台湾参考行程,上海·台北·花莲县·垦丁·高雄市,0,4
8,台湾8日游,上海·台北·花莲县·垦丁·高雄市,0,3
8,台湾参考行程,上海·台北·花莲县·垦丁·高雄市·桃园县,0,3
8,台湾8天,上海·台北·花莲县·垦丁·高雄市,0,14
10,台湾10,上海·台北·平溪·九份·花莲县·垦丁·高雄市·桃源县,3,255
12,台湾,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,52
9,台湾,平潭·台北·瑞芳镇（九份）·瑞芳·花莲县·垦丁·高雄市·上海,0,122
9,台湾2,台北·瑞芳镇（九份）·瑞芳·花莲县·垦丁·高雄市·台中市·海口,0,119
12,台湾游12天,台北·九份·花莲县·垦丁·垦丁国家公园·高雄市·台南市·台中市,0,48
10,上海出发台湾10日游,上海·台北·平溪·九份·花莲县·垦丁·高雄市·桃源县,1,71
11,台湾之旅,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南,0,49
11,台湾11日游,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南·高雄市,0,49
11,台湾11日游,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南·高雄市,0,41
11,台湾8天三人行,台北·淡水·九份·花莲县·垦丁·垦丁国家公园·兰屿·台南市·台南·高雄市,0,59
9,台湾9日游,台北·花莲县·高雄市·台南市·嘉义·台中市·彰化县·新北市,0,50
9,台湾10天9晚高雄进台北出,台北·花莲县·高雄市·台南市·嘉义·台中市·彰化县·新北市,0,48
7,少女免葱的台湾八日游线路,杭州中国·台湾·台北·台中市·南投县·九份·花莲县·杭州,23,764
9,nbudoudou的中国行程,宁波·高雄市·垦丁·花莲·台北,5,132
7,讨厌红楼梦的中国行程,杭州·台北·垦丁·台中市·嘉义·南投,4,265
7,cyrus阳的中国行程,广州·高雄市·垦丁·台北,3,155
8,KUROJ的中国行程,北京·台北·台中市·台南·高雄市·垦丁·花莲,2,151
7,心_ai的中国行程,上海·高雄市·垦丁·台北,2,129
13,17年国庆台湾趴趴走,广州·澳门·高雄市·垦丁·恒春·台东·屏东·绿岛·花莲·台北·新北市·九份·平溪,1,77
25,BERNICERUAN的香港澳门台湾泰国马来西亚行程,台山·澳门·香港·台北·九份·花莲·垦丁·亚庇·曼谷·清迈,0,79
8,台湾8天游,广州·台北·桃园市·高雄市·垦丁·屏东县·恒春·花莲县·阳明山·淡水,79,2494
7,全家暑假台湾行,中国·台北·花莲县·垦丁·高雄市·台中市,34,1573
6,cassie121106的中国行程,上海·高雄市·垦丁·台北,3,139
13,宋小鹿的台湾行程,武汉·台北·花莲·台中市·南投·桃园·上海,1,115
8,麦子文的中国行程,上海·台北·台中市·南投·花莲·九份,0,88
7,我的中国香港七日游线路,北京·台北·九份·花莲县·垦丁·香港,12,1099
7,美丽美物的中国行程,上海·高雄市·台中市·澎湖·台北·金门,0,59
7,渡海锦鲤穷鱼的中国行程,青岛·高雄市·台中市·澎湖·台北·金门,0,32
6,fadingsummer的中国行程,南京·高雄市·垦丁·台北,0,61
7,askaxu的台湾行程,上海·台北·高雄市·垦丁,2,91
6,简单心境的中国行程,温州·台北·淡水·九份,2,125
8,毛毛猪yanyan的中国行程,广州·高雄市·垦丁·台北,4,231
9,沈李达的中国行程,无锡·台北·九份·花莲·台湾,0,16
8,台湾,上海·台北·宜兰县·花莲县·南投县·太鲁阁国家公园·新竹,3,204
11,Jocelyn-Z的中国行程,上海·台北·花莲·垦丁·高雄市·台中市,3,277
6,LauraV587的中国行程,上海·台北·台中市·高雄市·垦丁·花莲,2,93
7,台湾,中国·台北·花莲县·花莲·垦丁·高雄市·台中市,3,96
10,台湾9日游,中国·台北·台中市·南投县·高雄市·垦丁·台东县·绿岛·花莲县·九份,2,165
10,我的中国十日游线路,长沙·台北·花莲县·台东县·垦丁·高雄市·台南·台中市,2,288
10,不如算了的中国行程,北京·台北·台中市·南投·台南·高雄市·垦丁·花莲,2,102
16,天天天啊2012冬季台湾环岛游,香港·桃园·台中市·南投·台南·高雄市·垦丁·恒春·台东·花莲·太鲁阁国家公园·宜兰·基隆市·平溪·新北市·台北·淡水,1,102
7,super露露酱的中国行程,深圳·高雄市·垦丁·台北,1,214
10,臭了个嗨的中国行程,温州·台北·鹿港·高雄市·垦丁·南投·九份·基隆市,1,113
15,困兽这渣的台湾十五日游线路,广州·澳门·桃园市·台北·淡水·新北市·平溪·九份·宜兰县·礁溪·花莲县·垦丁·高雄市·台湾·中国,0,121
15,我的日本中国十五日游线路,温州·大阪·京都·东京·台北·花莲县·垦丁,0,146
10,我的日本台湾中国十日游线路,温州·台北·九份·花莲县·垦丁·大阪·京都·箱根·东京,0,199
12,台湾,澳门·高雄市·垦丁·台中市·嘉义·枋寮·花莲·花莲县·太鲁阁国家公园·台北·新北市·淡水·桃园市,0,241
9,DQ台湾游,北京·福州·台北·淡水·垦丁·厦门,0,250
11,耕聖一的台湾十一日游线路,中国广州·台湾·台北·九份·平溪·花莲县·垦丁·高雄市·北投·广州,4,112
7,我的中国七日游线路,上海·连云港·日照·台北·九份·花莲县,0,83
7,我的中国七日游线路,赣州·深圳·台北·淡水·九份·金瓜石,0,47
12,新奇士绵绵冰的台湾马来西亚行程,广州·高雄市·垦丁·台北·亚庇·沙巴,0,347
8,台湾－探寻古老中国的影子,重庆·台北·花莲县·花莲·垦丁国家公园·高雄市·高雄,92,3028
12,skying_li台湾泰国马来u,台北·黄金湾·鹿特丹·德拉敦·卡拉克·亚庇·曼谷·北京,0,164
7,6月的天~我只身一人在台湾【从北到南】,中国澳门·台北·花莲县·垦丁·恒春·高雄市,1,153
8,2013国庆姐姐妹妹游台湾,上海·台北·平溪线·九份·台中·高美湿地·日月潭·清境农场·台中市·垦丁,4,756
8,啊剑游台湾,桃园市·高雄市·垦丁·台东县·台北·台湾·温州,0,181
9,我的中国九日游线路,上海·高雄市·台中市·澎湖县·台北·金门县,0,83
7,萌小晶晶的中国行程,武汉·高雄市·垦丁·台北,1,323
7,风动云动心动的中国行程,上海·台北·新北市·九份·花莲县·垦丁,3,531
15,我的15天台湾自驾之旅,重庆·香港·桃园市·台北·淡水·新北市·新竹·彰化县·鹿港·南投县·嘉义·高雄市·垦丁·花莲县,4,314
12,sbfbaggio的中国行程,台北·台中市·南投县·高雄市·垦丁国家公园·屏东县·台东县·花莲县·九份,2,763
9,christinehan的中国行程,上海——香港——台北·台北——清境农场·清境农场——高雄·高雄——垦丁·垦丁——花莲·花莲县·花莲——台北·台北·香港,2,435
14,台湾,北京·澳门·桃园县·台中市·鹿港·嘉义·阿里山·台南·高雄市·垦丁·台东县·花莲县·平溪·九份·台北·淡水,2,546
7,我的荷兰中国行程,成都·阿姆斯特丹·羊角村·台北·嘉义·淡水,0,306
7,我的中国七日游线路,郑州·台北·九份·花莲县,1,248
7,我的中国七日游线路,上海·成都·台北·九份·花莲县,1,239
7,我的中国七日游线路,重庆·台北·九份·花莲县,1,143
10,niki78415的澳门台湾马来西亚十日游线路,台湾·澳门·亚庇·台北·九份·花莲县·垦丁,0,307
15,xguan0805的中国行程,北京·桃园机场·台中市·南投县·彰化县·台南市·高雄市·台北·新北市,1,561
8,台湾8日,中国上海·台北·花莲县·平溪,1,332
9,台湾四人小分队,中国·台北·九份·垦丁·高雄市·高雄,1,419
8,2014年9月台湾游,中国·高雄市·垦丁·台北·新北市·九份·宜兰县·淡水·香港,1,360
7,栗子唐朝的的台湾六日游线路,中国·台湾·台北·九份·平溪·花莲县·高雄市,2,178
11,不叫NONONO的台湾行程,中国·台北·高雄市·垦丁·花莲县·平溪·九份,2,228
6,台湾台湾,中国·台北·新北市·平溪·花莲县·太鲁阁国家公园,0,236
7,我的中国七日游线路,阜阳·台北·九份·花莲县,0,85
7,我的中国七日游线路,沈阳·台北·九份·花莲县,0,69
7,我的中国七日游线路,天津·台北·九份·花莲县,0,162
7,我的中国七日游线路,太原·台北·九份·花莲县,0,97
7,我的中国七日游线路,太原·台北·九份·花莲县,0,64
7,Aiyueyou的中国七日游线路,长春·台北·九份·花莲县,0,99
7,我的中国七日游线路,上海·丽水·台北·九份·花莲县,0,125
7,我的中国七日游线路,广州·台北·九份·花莲县,0,143
7,我的中国七日游线路,广州·台北·九份·花莲县,0,76
13,台湾行程,中国·台北·平溪·九份·基隆市·宜兰县·新北市·花莲县·太鲁阁国家公园·台东县·垦丁·屏东县·高雄市·台南·嘉义·台中市·南投县·鹿港·彰化县·新竹,3,258
12,nvnvyeNZ-台湾-十一日游线路,中国·台北·台南·高雄市·垦丁·台东县·池上·花莲县·宜兰县,0,118
8,miew的中国行程,台北·花莲县·恒春,0,632
9,假装爱旅行的中国行程,上海·台北·淡水·九份·基隆市·花莲·花莲县,0,234
8,janetmq的中国行程,台北·新北市·九份·宜兰县·花莲县·上海,0,678
10,幽篁林的中国行程,台北·宜兰县·花莲县·高雄市·嘉义·九份,0,542
11,童靠靠的中国行程,台北·花莲县·台东县·垦丁·高雄市·嘉义·南投县,0,374
9,人生没有002的中国行程,上海·福州·台北·礁溪·宜兰县·罗东·花莲县·台南市·高雄市·厦门,0,484
12,邹小毅的微博的中国行程,台中市·台北·北投·新北市·淡水·高雄市,0,470
8,RickyKok的中国行程,香港·桃园县·台北·淡水,0,346
14,台湾蜜运,广州·南昌·香港·高雄市·垦丁·恒春·花莲县·花东公路·九份·台北,0,469
10,我的中国法国十日游线路,广州·高雄市·台南·台中市·台北·南投·巴黎,0,55
7,我的中国七日游线路,佛山·高雄市·垦丁·台北,0,28
7,我的中国七日游线路,贵阳·高雄市·垦丁·台北,0,28
9,年华05的中国行程,上海·高雄市·垦丁·花莲·台北,0,9
7,施大方的中国行程,上海·高雄市·垦丁·台北,0,4
8,bclucy的中国行程,香港·高雄市·垦丁·台北,0,1
8,bclucy的中国行程,香港·高雄市·垦丁·台北,0,3
7,yolandakoh的马来西亚台湾泰国韩国蒙古行程,柔佛州·吉隆坡·曼谷·乌兰巴托·首尔·台北·亚庇,0,334
7,我的中国七日游线路,合肥·台北·台中市·南投,0,23
10,我的中国十日游线路,珠海·台北·宜兰·南投·垦丁·高雄市·屏东·台中市·桃园,0,57
7,蓝蓝的欣的中国行程,广州·台北·台中市·南投,0,52
7,我的中国七日游线路,上海·台北·垦丁·花莲县,1,172
7,台湾游参考行程,中国·台北·花莲县·垦丁·高雄市·台中市,0,21
7,和扣仔的台湾旅游,中国·台北·花莲县·垦丁·高雄市·台中市,0,20
7,我的中国七日游线路,青岛·台北·桃园市·高雄市·垦丁,0,109
6,我的中国六日游线路,洛阳·高雄市·台中市·澎湖·台北·金门,0,47
6,lucy_czz的中国行程,南京·高雄市·台中市·澎湖·台北·金门,0,32
7,我的中国七日游线路,纽约·台北·南投县·九份,0,144
7,Spraise的中国行程,广州·高雄市·台中市·澎湖·台北·金门,0,19
10,我的中国十日游线路,济南·台北·淡水·九份·花莲县·垦丁·高雄市,2,147
